show_id,rating,duration,listed_in,score,votes,popularity
s1036,PG-13,127 min,Dramas,5.3,29449,4.8
s1037,TV-14,88 min,"Action & Adventure, Sci-Fi & Fantasy",6.2,37065,6.5
s1038,TV-14,106 min,"Comedies, Dramas, International Movies",6.7,1939,6.9
s1039,TV-PG,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",5.4,4066,4.9
s1040,TV-MA,65 min,"Documentaries, Music & Musicals",8,5814,7.6
s1041,TV-MA,1 Season,"Anime Series, Crime TV Shows, International TV Shows",7.4,4059,7.9
s1042,TV-MA,96 min,"Action & Adventure, Anime Features, Horror Movies",4.8,12758,4.7
s1043,TV-PG,1 Season,Docuseries,7,18949,7.4
s1044,TV-14,7 Seasons,"Romantic TV Shows, TV Comedies, TV Dramas",7.3,17446,7.3
s1045,TV-MA,1 Season,"Anime Series, International TV Shows, TV Thrillers",6.5,3062,6
s1046,TV-14,1 Season,Reality TV,7.3,3728,6.8
s1047,TV-14,88 min,Thrillers,6.4,13820,6.6
s1048,TV-14,1 Season,"International TV Shows, TV Dramas",7.3,9563,7
s1049,TV-Y,3 Seasons,Kids' TV,5.9,91,5.4
s1050,TV-Y,1 Season,"British TV Shows, Kids' TV",4.7,3768,4.6
s1051,TV-MA,143 min,"Dramas, International Movies, LGBTQ Movies",5.6,1974,5.3
s1052,TV-Y7,2 Seasons,"Anime Series, Kids' TV",6.2,4772,6.3
s1053,R,137 min,"Dramas, Independent Movies",4.4,18029,4.3
s1054,TV-MA,75 min,"Documentaries, Music & Musicals",6.1,20939,6.6
s1055,TV-14,71 min,"Documentaries, International Movies, Music & Musicals",4.6,28616,4.3
s1056,R,103 min,"Cult Movies, Dramas, Music & Musicals",6.2,21961,6.7
s1057,TV-PG,1 Season,"International TV Shows, TV Dramas",4.7,28994,4.6
s1058,TV-14,1 Season,TV Comedies,7,13242,6.8
s1059,TV-MA,1 Season,"British TV Shows, International TV Shows, TV Dramas",6.7,1170,7.1
s1060,TV-MA,6 Seasons,"TV Dramas, TV Thrillers",6.9,12655,7
s1061,TV-14,1 Season,"Reality TV, Romantic TV Shows",6.2,3686,6.1
s1062,TV-MA,1 Season,"Crime TV Shows, Docuseries",7.1,24527,6.7
s1063,TV-14,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",8,2282,8.4
s1064,TV-MA,1 Season,"TV Comedies, TV Dramas",7.9,10597,7.5
s1065,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Korean TV Shows",8.5,7068,8.1
s1066,TV-MA,3 Seasons,"TV Horror, TV Mysteries, TV Thrillers",6.2,14239,5.9
s1067,TV-MA,130 min,"Dramas, International Movies, Thrillers",6.6,2889,6.9
s1068,TV-MA,1 Season,"International TV Shows, TV Dramas, Teen TV Shows",6.7,66,7.2
s1069,TV-MA,1 Season,"Docuseries, Science & Nature TV",7.9,2013,8.3
s1070,TV-14,145 min,"Dramas, International Movies, Romantic Movies",6.5,3948,6
s1071,TV-MA,84 min,Documentaries,5.6,4289,5.1
s1072,TV-Y7,84 min,"Children & Family Movies, Music & Musicals",4.2,14630,3.8
s1073,TV-Y7,77 min,"Children & Family Movies, Comedies, Music & Musicals",5.9,6894,6.3
s1074,TV-Y7,86 min,"Children & Family Movies, Music & Musicals",4.5,25673,5
s1075,TV-Y7,79 min,Children & Family Movies,5.9,20310,6.1
s1076,TV-PG,1 Season,Docuseries,7.4,296,7.6
s1077,TV-Y7,80 min,Children & Family Movies,5.7,20581,5.6
s1078,TV-Y7,81 min,Children & Family Movies,5.8,8017,5.9
s1079,TV-Y,78 min,Children & Family Movies,4.3,29420,4.3
s1080,TV-PG,1 Season,"Romantic TV Shows, TV Comedies, TV Dramas",5.7,11966,5.4
s1081,TV-14,118 min,"Action & Adventure, Anime Features, International Movies",8,7798,8.1
s1082,TV-G,4 Seasons,"Kids' TV, TV Comedies",6.4,9453,6.8
s1083,TV-14,1 Season,"International TV Shows, Reality TV",5.1,8542,5.1
s1084,R,102 min,Comedies,7.9,15465,7.5
s1085,TV-14,1 Season,"Anime Series, International TV Shows, Romantic TV Shows",8.2,1580,8
s1086,TV-MA,132 min,"Dramas, International Movies",6.7,6998,6.2
s1087,TV-MA,108 min,"Dramas, International Movies, Thrillers",7.6,26652,7.8
s1088,TV-14,133 min,"Comedies, Horror Movies, International Movies",4.3,10189,4.8
s1089,PG-13,107 min,"Action & Adventure, Comedies",4,9259,3.9
s1090,TV-MA,32 min,Dramas,6.9,15331,7.3
s1091,TV-PG,78 min,"Dramas, International Movies, Romantic Movies",7.7,1644,7.4
s1092,TV-MA,1 Season,"Anime Series, International TV Shows",7.3,4437,7.3
s1093,TV-PG,55 min,"Documentaries, Music & Musicals",6.6,244,6.7
s1094,TV-14,2 Seasons,"International TV Shows, Reality TV, Romantic TV Shows",4.7,347,4.4
s1095,TV-MA,1 Season,"Reality TV, Romantic TV Shows",4.9,92,5.3
s1096,TV-MA,1 Season,"Crime TV Shows, Docuseries, TV Mysteries",6.5,16869,6.8
s1097,TV-Y7,92 min,"Children & Family Movies, Comedies",7.2,11100,6.9
s1098,TV-MA,86 min,Documentaries,5.1,29108,4.8
s1099,TV-14,140 min,"Comedies, Dramas, International Movies",8.4,7055,7.9
s1100,TV-MA,143 min,"Dramas, International Movies",6.4,644,6.6
s1101,TV-MA,88 min,"Horror Movies, Thrillers",5.5,22250,5.6
s1102,PG,89 min,"Children & Family Movies, Comedies, Sci-Fi & Fantasy",4.4,13780,4.4
s1103,PG-13,93 min,Comedies,5.9,26195,6.1
s1104,R,97 min,"Action & Adventure, Dramas, International Movies",7,15244,6.7
s1105,TV-Y,94 min,"Children & Family Movies, Comedies, Dramas",4.6,6506,5
s1106,R,112 min,"Dramas, Independent Movies",6.3,8843,5.8
s1107,R,100 min,Action & Adventure,4.2,9904,4.1
s1108,TV-MA,120 min,"Dramas, Faith & Spirituality, International Movies",5.4,14778,5.6
s1109,TV-MA,91 min,"International Movies, Thrillers",5.8,3204,5.7
s1110,TV-MA,98 min,"Comedies, International Movies, Romantic Movies",4.5,1990,4.4
s1111,TV-MA,113 min,"Dramas, International Movies",5.4,3470,5
s1112,PG-13,98 min,"Comedies, Romantic Movies",7.4,24895,7.2
s1113,PG,91 min,"Children & Family Movies, Comedies",7.1,8164,7.2
s1114,PG-13,158 min,"Action & Adventure, Sci-Fi & Fantasy",6.3,14234,6.5
s1115,PG-13,164 min,"Comedies, Dramas, International Movies",7.1,24596,7.1
s1116,TV-PG,133 min,"Comedies, International Movies, Sports Movies",7.4,24327,7.4
s1117,TV-PG,1 Season,"Docuseries, International TV Shows",4,10721,4.1
s1118,TV-PG,75 min,"Documentaries, International Movies",7,23623,6.6
s1119,PG-13,103 min,"Horror Movies, Thrillers",7.3,10796,7.3
s1120,R,90 min,"Action & Adventure, Horror Movies",6.8,16776,7.2
s1121,PG-13,116 min,"Action & Adventure, Sci-Fi & Fantasy",5.4,13156,5.1
s1122,PG-13,96 min,"Comedies, Romantic Movies",4.6,12119,5
s1123,TV-14,121 min,"Dramas, International Movies",6.4,21621,6
s1124,TV-G,2 Seasons,"Docuseries, International TV Shows, Science & Nature TV",4.8,3211,4.3
s1125,R,101 min,Action & Adventure,4.8,1033,5.3
s1126,TV-MA,2 Seasons,"British TV Shows, Crime TV Shows, Docuseries",5.8,6125,6.2
s1127,G,173 min,"Classic Movies, Music & Musicals",5.2,27969,5.2
s1128,TV-MA,2 Seasons,"Reality TV, TV Comedies, TV Horror",5.2,2813,5.7
s1129,R,89 min,"Action & Adventure, International Movies",4.6,3793,4.3
s1130,TV-PG,2 Seasons,"British TV Shows, Docuseries, International TV Shows",7.7,1092,7.7
s1131,TV-14,182 min,"Action & Adventure, Dramas, International Movies",4,15405,4.3
s1132,TV-14,181 min,"Action & Adventure, Dramas, International Movies",7.2,18240,7.1
s1133,TV-14,185 min,"Action & Adventure, Dramas, International Movies",6.5,6149,6
s1134,R,99 min,Action & Adventure,5.4,4147,5.8
s1135,R,88 min,"Action & Adventure, Sci-Fi & Fantasy",4.5,25754,4.6
s1136,PG-13,107 min,Action & Adventure,4.1,12679,4.3
s1137,TV-14,114 min,"Dramas, International Movies, Romantic Movies",5.7,1687,5.6
s1138,TV-PG,96 min,"Action & Adventure, International Movies, Music & Musicals",6.2,9814,5.9
s1139,R,149 min,"Dramas, Independent Movies, International Movies",5.2,9839,5.7
s1140,PG-13,102 min,"Horror Movies, Thrillers",6.9,12937,7.1
s1141,R,83 min,Action & Adventure,7.7,12507,8.1
s1142,TV-14,98 min,"Dramas, International Movies, Thrillers",5.1,18799,4.9
s1143,TV-MA,83 min,Documentaries,4.1,3757,3.9
s1144,TV-MA,1 Season,"Docuseries, Reality TV",6.7,319,6.7
s1145,PG-13,104 min,"Comedies, Romantic Movies",5.6,10689,5.5
s1146,PG-13,111 min,Dramas,7,15373,7.4
s1147,TV-14,1 Season,"International TV Shows, Reality TV, Spanish-Language TV Shows",5.3,588,4.9
s1148,TV-MA,98 min,"Documentaries, International Movies, Sports Movies",5.6,564,5.9
s1149,TV-Y,2 Seasons,"Kids' TV, Korean TV Shows",7.3,25191,6.9
s1150,TV-Y7,1 Season,"Anime Series, Kids' TV",6.6,12618,7
s1151,TV-PG,93 min,Documentaries,6.8,6217,6.4
s1152,TV-Y,73 min,Children & Family Movies,5.2,4510,5
s1153,TV-Y,1 Season,Kids' TV,5.6,150,5.8
s1154,PG-13,141 min,"Dramas, International Movies",7.4,12652,7.6
s1155,R,116 min,Dramas,7.2,16125,7.2
s1156,TV-PG,21 min,"Documentaries, International Movies",6,19601,6.2
s1157,TV-PG,98 min,"Children & Family Movies, Faith & Spirituality, Music & Musicals",5.7,4749,5.6
s1158,TV-MA,87 min,Comedies,6.5,24899,6
s1159,TV-G,4 Seasons,Kids' TV,7.3,29986,7.6
s1160,TV-MA,87 min,"Dramas, International Movies",4,17272,4.4
s1161,TV-MA,95 min,"Dramas, Independent Movies, Thrillers",5,6294,5.4
s1162,TV-PG,87 min,Documentaries,8,8933,7.8
s1163,TV-14,93 min,"Dramas, International Movies",7.2,14194,7.6
s1164,TV-MA,1 Season,"International TV Shows, Reality TV, Spanish-Language TV Shows",4.2,11351,4
s1165,TV-MA,97 min,"Comedies, International Movies",4.5,3838,4.5
s1166,TV-PG,114 min,"Comedies, Dramas, International Movies",6.9,9446,6.5
s1167,TV-14,1 Season,"British TV Shows, Crime TV Shows, International TV Shows",7.7,12669,8.1
s1168,TV-14,100 min,"Dramas, International Movies, Romantic Movies",5.8,1329,5.9
s1169,TV-MA,1 Season,Anime Series,5.5,10814,5.7
s1170,TV-Y7,1 Season,Kids' TV,8.1,395,8.6
s1171,TV-Y7,105 min,"Children & Family Movies, Comedies",6.2,4166,6.1
s1172,TV-14,90 min,Documentaries,8.1,30963,8.2
s1173,TV-MA,60 min,Stand-Up Comedy,4.5,27643,4.4
s1174,TV-14,6 Seasons,"International TV Shows, Korean TV Shows, Stand-Up Comedy & Talk Shows",5.8,5691,5.7
s1175,TV-14,1 Season,"International TV Shows, TV Dramas",8.8,2295,8.4
s1176,PG-13,98 min,"Dramas, Independent Movies, International Movies",7.6,100206,7.9
s1177,TV-MA,108 min,"Dramas, International Movies",4.1,22056,4.6
s1178,TV-MA,90 min,"Horror Movies, International Movies",3.1,416,3.5
s1179,R,102 min,Action & Adventure,5.1,4348,4.8
s1180,TV-Y7,4 Seasons,Kids' TV,6.8,29398,6.5
s1181,TV-Y7,2 Seasons,"Kids' TV, TV Comedies",6.1,310,6.2
s1182,TV-PG,1 Season,TV Comedies,6.8,3530,7.2
s1183,TV-MA,3 Seasons,Docuseries,4.2,8062,4.7
s1184,TV-G,84 min,"International Movies, Music & Musicals",7.4,11122,7.1
s1185,TV-14,120 min,"Action & Adventure, International Movies",7.5,10730,7.6
s1186,TV-MA,106 min,"Comedies, International Movies, Romantic Movies",7.1,10553,6.9
s1187,TV-MA,2 Seasons,"Anime Series, Crime TV Shows, International TV Shows",7.1,4983,6.9
s1188,R,115 min,Thrillers,5.4,18915,5.6
s1189,TV-14,98 min,"Action & Adventure, Comedies, International Movies",4.1,24451,4.1
s1190,TV-G,60 min,Stand-Up Comedy,7.3,1412,7.4
s1191,R,113 min,Action & Adventure,4.7,8294,4.3
s1192,PG-13,101 min,Stand-Up Comedy,5.9,18613,6.4
s1193,TV-MA,24 min,"Dramas, International Movies",7.6,3225,7.5
s1194,TV-PG,51 min,"Documentaries, International Movies, Music & Musicals",7.2,22204,6.9
s1195,TV-14,80 min,"Dramas, International Movies, Thrillers",7.4,19735,7.9
s1196,R,100 min,Documentaries,5.7,26308,6.1
s1197,TV-14,1 Season,"Crime TV Shows, Docuseries, International TV Shows",6.3,761,5.8
s1198,PG-13,139 min,"Dramas, Music & Musicals",8,20495,7.8
s1199,TV-MA,74 min,Stand-Up Comedy,7.5,1594,7.1
s1200,R,131 min,"Dramas, Thrillers",7.6,10407,7.3
s1201,TV-Y,1 Season,Kids' TV,7.4,496,7.9
s1202,TV-14,1 Season,"Crime TV Shows, International TV Shows, TV Comedies",6.5,448,6.2
s1203,TV-14,131 min,"Dramas, International Movies, Romantic Movies",5.9,15339,5.4
s1204,PG,118 min,"Children & Family Movies, Dramas",4.8,16529,4.4
s1205,TV-14,87 min,Documentaries,4.1,17774,4
s1206,TV-MA,1 Season,"Docuseries, Science & Nature TV, TV Action & Adventure",6.6,2880,6.7
s1207,TV-G,1 Season,"British TV Shows, Kids' TV, TV Dramas",5.7,1457,5.6
s1208,TV-14,101 min,Documentaries,4.3,22526,4.6
s1209,TV-MA,97 min,"Comedies, International Movies",7.7,28262,7.2
s1210,TV-G,92 min,"Comedies, Dramas, International Movies",5.7,8671,6.2
s1211,TV-MA,2 Seasons,"International TV Shows, Korean TV Shows, Romantic TV Shows",6.8,5749,6.9
s1212,TV-14,136 min,"Dramas, International Movies",7.7,4745,7.5
s1213,TV-MA,97 min,"Dramas, International Movies",6.6,12227,6.8
s1214,TV-MA,3 Seasons,TV Comedies,7.2,19446,7.4
s1215,TV-MA,103 min,"Dramas, International Movies, Music & Musicals",7,19699,7.5
s1216,TV-MA,110 min,"Comedies, International Movies, Romantic Movies",5.7,5370,5.8
s1217,TV-MA,105 min,"Comedies, International Movies, Romantic Movies",6.4,21714,6.6
s1218,TV-MA,1 Season,"British TV Shows, Crime TV Shows, International TV Shows",6.6,12738,6.7
s1219,PG,90 min,"Children & Family Movies, Comedies",5.7,24184,5.4
s1220,TV-PG,107 min,"Comedies, Dramas, Independent Movies",4.4,10043,4.1
s1221,TV-MA,92 min,"Dramas, Independent Movies, International Movies",4.2,13370,4
s1222,TV-14,94 min,"Dramas, International Movies",7.6,5092,8.1
s1223,TV-MA,99 min,"Horror Movies, Independent Movies",4.8,16695,4.8
s1224,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure",6.3,556,6.3
s1225,TV-MA,1 Season,Docuseries,8.3,2606,7.9
s1226,TV-G,1 Season,"Reality TV, Romantic TV Shows",7.5,23988,7.1
s1227,TV-14,1 Season,"Docuseries, International TV Shows",7.2,1242,7.6
s1228,TV-MA,1 Season,"International TV Shows, TV Dramas",5.2,4915,5.1
s1229,PG-13,97 min,"Dramas, Independent Movies, International Movies",6.3,664,6.2
s1230,TV-14,1 Season,"International TV Shows, TV Dramas",7,26857,6.6
s1231,TV-14,151 min,"Comedies, Dramas, Independent Movies",7,694,7
s1232,TV-Y7,1 Season,Kids' TV,7.5,407,7.1
s1233,TV-MA,108 min,"Comedies, Dramas, International Movies",5.8,612,6.3
s1234,TV-14,113 min,"Comedies, International Movies",7.1,6534,7.1
s1235,TV-MA,1 Season,"Docuseries, International TV Shows, Spanish-Language TV Shows",6.9,687,6.8
s1236,TV-Y7,4 Seasons,"Anime Series, Kids' TV, TV Action & Adventure",6.9,632,6.4
s1237,TV-MA,81 min,"Action & Adventure, Dramas, International Movies",4.7,7926,4.7
s1238,TV-14,116 min,"Comedies, International Movies, Romantic Movies",6.9,743,6.7
s1239,TV-14,1 Season,Anime Series,7,5320,7.4
s1240,R,119 min,Action & Adventure,6.2,24870,5.7
s1241,PG-13,116 min,"Dramas, Romantic Movies",4.3,20941,3.8
s1242,PG-13,112 min,"Comedies, Dramas, Music & Musicals",6.7,25588,6.8
s1243,TV-14,1 Season,"Crime TV Shows, Docuseries",7,6493,6.6
s1244,PG-13,121 min,Dramas,7.4,8287,7.4
s1245,TV-14,115 min,"Action & Adventure, Comedies, International Movies",7.2,5611,7.1
s1246,TV-Y,5 Seasons,Kids' TV,5.5,355,5.6
s1247,TV-MA,1 Season,"Classic & Cult TV, Crime TV Shows, International TV Shows",7.3,23904,7.6
s1248,TV-PG,182 min,"Action & Adventure, Dramas, International Movies",7.8,14061,8.2
s1249,R,98 min,"Documentaries, Music & Musicals",6.8,5115,7.2
s1250,TV-MA,96 min,Stand-Up Comedy,7,17470,6.6
s1251,TV-G,42 min,"Documentaries, International Movies, Music & Musicals",7.2,14038,7.2
s1252,PG-13,181 min,"Action & Adventure, Classic Movies, Dramas",4.6,25169,4.5
s1253,TV-14,100 min,"Comedies, International Movies",6.1,4676,6.2
s1254,TV-Y,22 min,"Children & Family Movies, Comedies",5.7,23439,5.8
s1255,R,134 min,"Classic Movies, Dramas",5.8,25711,5.6
s1256,TV-14,177 min,"Action & Adventure, Dramas, International Movies",5.5,9567,5.6
s1257,R,94 min,"Comedies, Cult Movies, Music & Musicals",6.2,14052,6.2
s1258,TV-14,1 Season,"Anime Series, International TV Shows",7.3,1054,7.6
s1259,TV-Y7,88 min,"Children & Family Movies, Comedies",7.5,9423,7
s1260,R,119 min,"Comedies, Dramas, Independent Movies",4.1,20110,3.6
s1261,TV-MA,107 min,"Comedies, International Movies, Romantic Movies",6.6,5850,6.4
s1262,TV-MA,112 min,"Dramas, Independent Movies, International Movies",6.8,11306,6.6
s1263,TV-MA,35 min,"Comedies, Dramas",4,29276,4
s1264,R,103 min,Action & Adventure,6.8,13889,7.3
s1265,R,90 min,"Comedies, Dramas, Independent Movies",7.9,5690,7.5
s1266,TV-MA,120 min,"International Movies, Thrillers",4.4,14592,4.2
s1267,TV-MA,97 min,"Dramas, Independent Movies, International Movies",7.6,25388,7.8
s1268,TV-MA,102 min,"International Movies, Thrillers",6.3,8727,6.8
s1269,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",5.1,227,5.2
s1270,TV-PG,106 min,"Dramas, International Movies, Romantic Movies",5.1,292,4.6
s1271,TV-MA,3 Seasons,"International TV Shows, Spanish-Language TV Shows, TV Dramas",6,4441,5.5
s1272,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Dramas",7.4,13204,7.6
s1273,TV-MA,1 Season,"Docuseries, International TV Shows",7.4,4209,7.8
s1274,TV-14,119 min,"International Movies, Thrillers",4.4,4000,3.9
s1275,TV-PG,1 Season,Reality TV,6.6,907,6.5
s1276,TV-14,1 Season,"Romantic TV Shows, TV Comedies, TV Dramas",6.2,1207,6
s1277,TV-MA,84 min,"Dramas, International Movies",6.3,2560,6.8
s1278,TV-14,2 Seasons,"TV Horror, Teen TV Shows",5,22247,5.4
s1279,TV-G,58 min,Stand-Up Comedy,6.8,632,6.8
s1280,TV-14,90 min,"Documentaries, International Movies",7,4329,7.5
s1281,TV-14,109 min,"Documentaries, International Movies, Sports Movies",7,4356,7.5
s1282,TV-14,143 min,"Dramas, International Movies",7.6,15438,7.8
s1283,TV-MA,1 Season,"International TV Shows, TV Dramas",6.6,17844,6.1
s1284,R,112 min,"Horror Movies, Thrillers",7,29515,6.8
s1285,R,134 min,Horror Movies,8,1374,7.7
s1286,TV-14,1 Season,"International TV Shows, TV Comedies, TV Dramas",4.8,11196,5
s1287,TV-MA,123 min,"Comedies, Dramas, Independent Movies",7.1,1669,7.2
s1288,TV-14,36 min,"Comedies, Dramas",6.2,83,6.7
s1289,PG-13,123 min,"Dramas, Thrillers",4.9,2575,5.2
s1290,TV-G,58 min,"Documentaries, International Movies, Music & Musicals",5.5,9400,5.7
s1291,R,118 min,"Comedies, LGBTQ Movies, Thrillers",5.5,25296,5.8
s1292,TV-14,91 min,"Dramas, Independent Movies, International Movies",6.7,483,7.2
s1293,TV-PG,76 min,"Documentaries, International Movies",6.1,535,6
s1294,TV-MA,1 Season,"International TV Shows, TV Dramas",5.1,751,4.8
s1295,TV-MA,1 Season,"International TV Shows, TV Action & Adventure, TV Dramas",6.7,12284,6.9
s1296,TV-MA,97 min,"Comedies, Dramas, Independent Movies",4.2,20825,4.4
s1297,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",7.3,617,7.1
s1298,TV-14,85 min,Horror Movies,7.2,21197,6.7
s1299,TV-14,1 Season,"International TV Shows, TV Action & Adventure, TV Dramas",5.8,9645,6.1
s1300,TV-MA,1 Season,"Anime Series, International TV Shows",7.5,1314,7.2
s1301,TV-MA,1 Season,Docuseries,7.8,1395,8.1
s1302,TV-MA,1 Season,"British TV Shows, International TV Shows, TV Dramas",7.3,22961,6.8
s1303,TV-14,4 Seasons,"Docuseries, Reality TV, Science & Nature TV",7.5,1516,7.6
s1304,TV-PG,92 min,Documentaries,7.2,5234,7.2
s1305,TV-PG,139 min,Children & Family Movies,5.8,967,5.9
s1306,TV-14,162 min,"Action & Adventure, Comedies, Dramas",8,17576,7.6
s1307,TV-MA,3 Seasons,"Crime TV Shows, TV Comedies, TV Dramas",5.2,27989,5.3
s1308,PG,92 min,"Children & Family Movies, Comedies, Dramas",6.2,22552,6.6
s1309,TV-Y7,4 Seasons,"Kids' TV, TV Comedies",7,428,6.5
s1310,TV-14,86 min,Thrillers,4.4,2407,4.1
s1311,TV-14,1 Season,TV Comedies,6.5,5653,6.9
s1312,TV-14,107 min,"Comedies, Dramas, International Movies",5.1,1567,5.1
s1313,TV-MA,85 min,"Dramas, Independent Movies, LGBTQ Movies",6,2102,6.4
s1314,TV-14,1 Season,Reality TV,7.2,354,7.5
s1315,TV-MA,2 Seasons,TV Comedies,7.6,11023,8
s1316,TV-MA,83 min,Stand-Up Comedy,4.6,9024,4.3
s1317,TV-MA,104 min,"Dramas, International Movies, Romantic Movies",5.1,5342,5.5
s1318,TV-G,1 Season,"British TV Shows, International TV Shows, Reality TV",7.2,265,7.5
s1319,TV-14,116 min,"Comedies, Romantic Movies",6.3,26017,5.8
s1320,TV-Y7,87 min,Children & Family Movies,5.1,557,4.7
s1321,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",8,27223,8
s1322,TV-MA,1 Season,"Crime TV Shows, Spanish-Language TV Shows, TV Action & Adventure",7.2,12911,7.1
s1323,TV-14,91 min,"Comedies, Dramas, International Movies",5.2,12041,5
s1324,TV-14,119 min,"Dramas, International Movies, Romantic Movies",6,280,6.1
s1325,R,102 min,"Dramas, Independent Movies, Romantic Movies",6.5,1859,6
s1326,TV-MA,86 min,"International Movies, Thrillers",5.5,13476,5.8
s1327,TV-14,102 min,"Comedies, International Movies, Romantic Movies",5.1,3227,4.6
s1328,TV-MA,98 min,"Documentaries, Music & Musicals",6.5,266,6.9
s1329,TV-MA,1 Season,"Crime TV Shows, Docuseries",5.9,17958,5.4
s1330,TV-MA,99 min,"Comedies, International Movies",4.4,651,4.1
s1331,PG,108 min,"Dramas, Romantic Movies",7.3,20991,7.2
s1332,TV-MA,1 Season,TV Shows,4.1,25153,4.6
s1333,TV-G,2 Seasons,"Kids' TV, TV Comedies",5.3,12678,5
s1334,R,114 min,"Comedies, Dramas",4.9,23493,4.8
s1335,TV-14,104 min,"Action & Adventure, International Movies",4,24585,4.1
s1336,TV-MA,3 Seasons,"Crime TV Shows, TV Dramas, TV Mysteries",7.6,7102,8
s1337,TV-MA,88 min,Stand-Up Comedy,7,12909,7.2
s1338,TV-PG,104 min,"Dramas, Independent Movies, International Movies",4.5,27576,4.9
s1339,TV-MA,2 Seasons,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",6.5,1675,6.9
s1340,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",7.2,5589,7.5
s1341,TV-14,123 min,"Dramas, International Movies",7.2,2392,6.8
s1342,R,106 min,"Dramas, Independent Movies",5.5,28382,5.9
s1343,TV-MA,138 min,"Action & Adventure, Dramas, International Movies",6.5,25569,6.1
s1344,R,113 min,Documentaries,5.3,678,5.5
s1345,TV-MA,107 min,"Dramas, International Movies, Romantic Movies",7.2,15478,7.6
s1346,TV-14,133 min,"Action & Adventure, International Movies",6.4,4847,6.2
s1347,TV-MA,97 min,"Comedies, Dramas, International Movies",5.8,6412,5.7
s1348,TV-MA,116 min,"Action & Adventure, International Movies",5.6,1615,5.6
s1349,TV-MA,1 Season,"Romantic TV Shows, TV Dramas",5.5,6449,5.4
s1350,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",6.7,5221,6.9
s1351,TV-Y7,2 Seasons,Kids' TV,5.8,932,5.8
s1352,TV-PG,123 min,"Dramas, Faith & Spirituality, International Movies",7.3,5085,7.1
s1353,TV-MA,2 Seasons,"Stand-Up Comedy & Talk Shows, TV Comedies",6.6,578,7
s1354,PG-13,89 min,"Action & Adventure, Comedies",4,11444,3.5
s1355,TV-14,13 Seasons,TV Dramas,7,3792,6.9
s1356,TV-14,1 Season,"Romantic TV Shows, Teen TV Shows",5.8,28734,5.8
s1357,TV-14,1 Season,"TV Comedies, Teen TV Shows",5.8,20168,5.3
s1358,TV-MA,93 min,Dramas,5.2,25696,5.5
s1359,R,139 min,Thrillers,6.4,12618,6.6
s1360,R,112 min,"Dramas, International Movies, Thrillers",7,9552,7.3
s1361,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",5.5,124,5.5
s1362,TV-14,1 Season,"TV Horror, Teen TV Shows",6.7,5471,6.8
s1363,TV-PG,7 Seasons,"Kids' TV, TV Comedies",5.2,7199,5.3
s1364,TV-14,2 Seasons,"Romantic TV Shows, TV Dramas, Teen TV Shows",5.9,23168,5.6
s1365,PG,101 min,"Children & Family Movies, Sci-Fi & Fantasy",7.9,17646,7.7
s1366,TV-Y7,2 Seasons,"Kids' TV, TV Comedies",6.8,695,6.5
s1367,PG-13,113 min,"Dramas, Faith & Spirituality",7.4,12469,7.8
s1368,R,89 min,Horror Movies,5.5,17184,5.3
s1369,TV-MA,107 min,"Action & Adventure, International Movies",4.6,9592,4.5
s1370,PG,123 min,"Children & Family Movies, Comedies",4.9,29371,5.4
s1371,PG-13,113 min,"Dramas, International Movies",6.3,16738,6.3
s1372,TV-14,1 Season,Docuseries,6.5,164,6.5
s1373,TV-PG,90 min,"Children & Family Movies, Dramas, International Movies",7.5,26552,7.1
s1374,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Thrillers",6.9,5746,6.5
s1375,TV-14,52 min,"Documentaries, International Movies, Sports Movies",7.2,393,7.1
s1376,TV-MA,2 Seasons,"TV Comedies, TV Dramas",5.1,25594,5.6
s1377,TV-MA,127 min,"Comedies, Dramas, Independent Movies",4.6,15191,4.8
s1378,TV-MA,4 Seasons,"Romantic TV Shows, TV Action & Adventure, TV Dramas",6.3,6970,6.2
s1379,TV-14,95 min,"Children & Family Movies, Dramas",6.8,10454,6.3
s1380,TV-14,121 min,"Dramas, International Movies",7,12359,6.5
s1381,TV-Y,1 Season,Kids' TV,5.6,27185,5.7
s1382,TV-14,108 min,"Comedies, International Movies, Romantic Movies",5.2,5350,5.7
s1383,TV-PG,102 min,"Dramas, International Movies, Romantic Movies",6.1,25553,6.6
s1384,TV-14,2 Seasons,"International TV Shows, Reality TV",7.1,3350,7.3
s1385,TV-14,3 Seasons,"Crime TV Shows, International TV Shows, Korean TV Shows",7.6,951,8
s1386,TV-14,1 Season,"Anime Series, International TV Shows",4.7,22248,5.1
